WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
232,Katsuura,JP,35.1333,140.3,77.2,70,73,19.28,broken clouds
233,Arlit,NE,18.7369,7.3853,91.09,13,0,5.82,clear sky
234,Norman Wells,CA,65.282,-126.8329,35.64,100,100,4.61,light rain
235,Hasaki,JP,35.7333,140.8333,84.29,69,31,22.3,scattered clouds
236,Ravar,IR,31.2656,56.8055,70.66,24,0,2.28,clear sky
237,Sorong,ID,-0.8833,131.25,83.44,70,35,2.62,scattered clouds
238,Nantucket,US,41.2835,-70.0995,56.14,79,100,29.73,overcast clouds
239,Caratinga,BR,-19.7897,-42.1392,66.49,94,31,2.77,scattered clouds
240,Praia,CV,14.9215,-23.5087,79.34,83,75,12.66,broken clouds
241,Conakry,GN,9.538,-13.6773,78.87,83,75,2.3,broken clouds
242,Kaspiyskiy,RU,45.3929,47.3707,65.95,93,94,16.64,overcast clouds
243,Beringovskiy,RU,63.05,179.3167,37.0,73,100,8.61,overcast clouds
