City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
127,Tual,ID,81.9,broken clouds,-5.6667,132.75,Grand Vilia Hotel
131,Ardmore,US,75.02,clear sky,34.1743,-97.1436,"Motel 6 Ardmore, OK"
133,Icatu,BR,81.03,overcast clouds,-2.7758,-44.0658,Hotel Guaxenduba
136,Airai,TL,72.14,broken clouds,-8.9266,125.4092,
137,Ahmadnagar,IN,70.48,overcast clouds,19.0833,74.7333,STARiHOTELS Maliwada Ahmednagar
138,Karratha,AU,79.5,clear sky,-20.7377,116.8463,ibis Styles Karratha
140,Omboue,GA,75.07,light rain,-1.5746,9.2618,Hotel Olako
144,Topolobampo,MX,85.91,clear sky,25.6,-109.05,Hotel Marina Topolobampo
147,Bethany,US,81.05,clear sky,45.5579,-122.8676,Courtyard by Marriott Portland Hillsboro
149,Magaria,NE,83.03,broken clouds,12.9983,8.9099,Chez Honorable Chapiou
150,San Patricio,US,80.55,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
151,Atambua,ID,83.53,overcast clouds,-9.1061,124.8925,Ros Muskanan
154,Acajutla,SV,79.36,overcast clouds,13.5928,-89.8275,CASA DE LA PERRA
156,Harper,LR,75.85,overcast clouds,4.375,-7.7169,Screensaver
158,Faanui,PF,78.4,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
161,Pochutla,MX,80.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
162,Puerto Penasco,MX,84.9,clear sky,31.3167,-113.5333,Playa Bonita Resort
165,Mount Isa,AU,89.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
167,Maumere,ID,83.66,scattered clouds,-8.6199,122.2111,Sylvia Hotel
168,Inhambane,MZ,71.37,clear sky,-23.865,35.3833,Oceano
170,Gizo,SB,84.2,overcast clouds,-8.103,156.8419,Imagination Island
172,Victoria,HK,86.97,clear sky,22.2855,114.1577,Mini Central
173,Winnemucca,US,77.05,clear sky,40.973,-117.7357,Winners Inn Casino
175,Morondava,MG,70.7,clear sky,-20.2833,44.2833,La Case Bambou
177,Kita,ML,75.54,scattered clouds,13.0349,-9.4895,Hôtel Chat Rouge
180,Naze,JP,83.32,few clouds,28.3667,129.4833,Shishime Hotel
181,Ballina,AU,71.78,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
185,Mahebourg,MU,70.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
186,Kahului,US,82.42,broken clouds,20.8947,-156.47,Maui Seaside Hotel
187,Richards Bay,ZA,70.14,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
188,Gat,IL,74.39,clear sky,31.61,34.7642,OlusHome
189,Bhalki,IN,70.66,overcast clouds,18.0333,77.2167,Siddheshwar Swamy
192,Gamba,GA,75.79,overcast clouds,-2.65,10.0,
194,Alice Springs,AU,76.55,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
198,Hirara,JP,86.27,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
202,Port Hueneme,US,80.51,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
204,Ariquemes,BR,73.08,heavy intensity rain,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
208,Muli,MV,81.27,moderate rain,2.9167,73.5667,Medhufushi Island Resort
210,Along,IN,71.94,overcast clouds,28.1667,94.7667,Hotel West
213,Carnarvon,AU,71.37,clear sky,-24.8667,113.6333,Hospitality Carnarvon
214,Tabou,CI,75.74,overcast clouds,4.423,-7.3528,hotêl doufoulougou
215,Trairi,BR,77.68,broken clouds,-3.2778,-39.2689,janelas do mar
217,Yuli,NG,71.67,light rain,9.6989,10.2744,
218,Los Llanos De Aridane,ES,75.13,scattered clouds,28.6585,-17.9182,Valle Aridane
228,Aripuana,BR,71.49,broken clouds,-9.1667,-60.6333,
